Open,High,Low,Close,Adj Close,Volume,Month
18.83,20.09,18.700001,19.879999,19.879999,1180700,12
20.354,21.040001,19.315001,20.209999,20.209999,1105400,12
20.200001,20.5,19.23,19.799999,19.799999,627800,12
20.299999,25.9,19.809999,25.75,25.75,3912100,12
27.379999,29.120001,24.1,26.549999,26.549999,4848200,12
26.948,27.6,24.6,25.459999,25.459999,1723100,12
26.0,26.5,24.799999,26.16,26.16,1106500,12
26.5,27.4,23.0,23.24,23.24,2001000,12
25.209999,25.299999,20.42,22.1,22.1,2890700,12
23.1,23.1,21.5,22.209999,22.209999,1385300,12
21.92,22.85,20.6,21.110001,21.110001,1402900,12
22.0,22.0,20.209999,21.24,21.24,1233500,1
21.18,25.5,21.02,25.5,25.5,2294000,1
24.120001,25.6,23.299999,23.719999,23.719999,1167400,1
24.5,25.0,23.799999,25.0,25.0,935000,1
25.4,25.99,23.400999,24.610001,24.610001,1228000,1
24.02,27.0,24.02,26.059999,26.059999,1771500,1
26.98,31.74,26.799999,31.4,31.4,3012200,1
33.580002,38.970001,33.009998,37.98,37.98,4771500,1
39.700001,49.860001,39.599998,44.459999,44.459999,6123900,1
48.669998,51.400002,39.0,40.0,40.0,7597700,1
45.02,61.599998,44.610001,61.389999,61.389999,8403700,1
60.009998,77.309998,53.349998,73.900002,73.900002,14430000,1
69.519997,81.989998,68.510002,75.389999,75.389999,9537600,1
73.779999,78.25,70.120003,77.199997,77.199997,5009300,1
87.0,99.980003,78.779999,89.529999,89.529999,8000700,1
93.629997,98.0,85.330002,90.0,90.0,4943600,1
82.0,88.860001,78.0,80.0,80.0,3753900,1
78.455002,85.599998,71.0,73.199997,73.199997,2708000,1
72.059998,74.300003,64.099998,66.360001,66.360001,3381400,1
76.790001,81.889999,73.0,81.5,81.5,3155600,2
87.661003,89.5,78.099998,81.449997,81.449997,2204900,2
83.669998,85.610001,81.004997,83.0,83.0,1334000,2
80.400002,84.050003,75.581001,80.910004,80.910004,1588500,2
78.230003,78.230003,72.730003,76.400002,76.400002,1949400,2
76.519997,76.670998,69.239998,73.940002,73.940002,2506000,2
71.510002,92.269997,71.449997,92.129997,92.129997,4890400,2
90.0,110.0,90.0,110.0,110.0,5407900,2
105.849998,109.800003,97.0,108.449997,108.449997,2137100,2
104.25,129.800003,103.800003,124.089996,124.089996,2715400,2
123.497002,124.089996,44.459999,46.299999,46.299999,22196600,2
50.049999,81.5,46.200001,77.730003,77.730003,60348000,2
76.860001,76.900002,58.5,61.189999,61.189999,16935000,2
64.900002,69.949997,58.150002,59.799999,59.799999,7963700,2
61.709999,63.792,52.52,53.23,53.23,7281200,2
47.299999,51.25,40.5,50.18,50.18,6042600,2
50.099998,58.0,47.5,54.09,54.09,5538700,2
52.509998,55.0,44.509998,45.740002,45.740002,5152400,2
46.240002,48.959999,43.099998,46.330002,46.330002,3352300,2
49.099998,53.799999,48.099998,50.080002,50.080002,3458200,3
50.029999,50.110001,45.509998,45.700001,45.700001,1550000,3
46.220001,47.16,41.009998,42.509998,42.509998,2200300,3
40.52,43.150002,34.209999,36.040001,36.040001,4612600,3
36.0,36.099998,28.530001,34.669998,34.669998,4029900,3
35.060001,41.0,32.382,35.209999,35.209999,6208700,3
39.900002,48.0,37.209999,46.150002,46.150002,6374600,3
51.799999,54.75,42.0,44.400002,44.400002,8218800,3
47.799999,51.549999,45.540001,51.299999,51.299999,4023400,3
48.290001,51.987999,46.700001,51.689999,51.689999,2475600,3
52.299999,53.5,49.0,51.5,51.5,2416500,3
51.487999,51.5,45.18,47.580002,47.580002,2508400,3
44.279999,50.0,43.549999,49.720001,49.720001,1720000,3
47.380001,48.57,44.639999,45.34,45.34,1523800,3
44.217999,46.549999,43.580002,46.310001,46.310001,1305300,3
46.580002,46.580002,41.700001,42.689999,42.689999,1960800,3
42.200001,43.040001,39.259998,39.799999,39.799999,2127400,3
39.700001,40.438,35.16,35.52,35.52,3103000,3
33.240002,36.290001,32.18,35.990002,35.990002,2283100,3
36.119999,36.599998,32.349998,34.810001,34.810001,1768500,3
34.0,35.0,32.32,32.860001,32.860001,1264700,3
32.284,36.400002,30.74,35.98,35.98,2574200,3
36.02,37.200001,34.799999,37.040001,37.040001,1314200,3
38.650002,39.599998,35.349998,36.040001,36.040001,1550000,4
36.790001,36.790001,33.360001,34.599998,34.599998,1230900,4
33.560001,37.900002,33.375,37.459999,37.459999,1538800,4
36.209999,36.630001,33.5,33.98,33.98,1599700,4
34.220001,35.75,33.599998,34.07,34.07,1000200,4
33.5,35.48,32.810001,34.34,34.34,828700,4
33.130001,33.400002,28.1,29.200001,29.200001,4364200,4
28.790001,29.65,27.0,29.02,29.02,2520900,4
29.52,31.0,28.200001,29.4,29.4,1592700,4
30.129999,30.129999,27.6,28.93,28.93,1632300,4
26.01,28.35,25.52,27.91,27.91,3954000,4
26.68,26.73,23.771999,24.790001,24.790001,2985900,4
24.219999,25.879999,23.6,24.58,24.58,2175000,4
24.26,26.68,23.309999,25.82,25.82,2430500,4
26.4,28.33,25.309999,26.42,26.42,2384100,4
26.700001,29.25,26.082001,27.74,27.74,2270900,4
28.1,29.93,26.864,29.129999,29.129999,2049800,4
29.4,30.77,28.25,30.23,30.23,1888900,4
30.09,31.205,28.879999,30.360001,30.360001,1451600,4
30.51,30.73,28.0,28.790001,28.790001,1237100,4
27.98,29.719999,27.6,27.9,27.9,1087700,4
27.01,27.27,22.799999,23.190001,23.190001,5263200,5
22.51,25.75,21.860001,24.129999,24.129999,3029200,5
24.040001,24.407,22.450001,22.799999,22.799999,1328600,5
22.5,23.98,22.110001,23.4,23.4,1934700,5
23.25,23.966,22.790001,23.450001,23.450001,1342500,5
23.17,23.17,21.799999,22.23,22.23,1167100,5
20.24,22.860001,20.01,22.59,22.59,1549900,5
22.6,23.34,21.815001,22.52,22.52,1184800,5
22.18,23.209999,20.719999,21.4,21.4,1961900,5
21.99,22.860001,20.620001,21.09,21.09,2124700,5
20.23,21.49,19.747999,21.370001,21.370001,1650600,5
20.92,25.18,20.450001,23.450001,23.450001,4006900,5
22.139999,22.65,21.1,21.959999,21.959999,2576500,5
22.299999,22.99,21.51,22.809999,22.809999,1320700,5
23.200001,23.806999,21.610001,21.74,21.74,1653600,5
22.0,22.17,20.85,21.6,21.6,1550100,5
21.6,24.889999,21.17,22.530001,22.530001,6794800,5
23.0,26.389,22.299999,25.469999,25.469999,6576400,5
